                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.70186,                0.39279,                0.84959,                0.79897,                0.38786,                0.85837,                0.65198,                0.56796,                0.58898,                  0.448,                 1.1113,                0.91034,                0.94695,                 1.2091,                 1.1798,                0.97698,              5.644e-05,              5.644e-05,              5.644e-05
                     25,                0.70322,                0.39087,                0.85081,                0.80606,                0.38623,                0.86025,                0.62837,                0.56023,                0.58468,                0.44528,                 1.1079,                0.90489,                0.94398,                 1.2083,                 1.1455,                  0.976,              5.446e-05,              5.446e-05,              5.446e-05
                     26,                0.69593,                0.38649,                0.84932,                 0.7962,                0.37833,                0.85859,                0.61741,                0.56175,                0.58979,                 0.4484,                 1.1127,                0.91456,                0.95238,                 1.2147,                 1.1994,                0.98387,              5.248e-05,              5.248e-05,              5.248e-05
                     27,                0.68763,                0.38211,                0.84677,                0.78894,                0.37773,                0.85686,                0.64945,                0.55824,                0.59493,                0.45476,                 1.1138,                0.92127,                0.95063,                 1.2149,                 1.1778,                0.98387,               5.05e-05,               5.05e-05,               5.05e-05
                     28,                0.68368,                0.37982,                0.84787,                0.78403,                0.37209,                0.85789,                 0.6197,                0.56858,                0.58654,                0.44778,                 1.0998,                0.92229,                0.94822,                 1.2007,                 1.2031,                0.98015,              4.852e-05,              4.852e-05,              4.852e-05
                     29,                0.67668,                0.37518,                0.84462,                0.77539,                0.36646,                0.85479,                0.61495,                0.56696,                0.58349,                0.44699,                 1.0987,                0.90004,                0.94728,                 1.1992,                 1.1656,                0.97653,              4.654e-05,              4.654e-05,              4.654e-05
                     30,                0.66975,                 0.3691,                0.84488,                0.76418,                0.35614,                0.85398,                0.59499,                0.59532,                0.58753,                0.45278,                 1.0963,                0.91838,                0.94134,                 1.2007,                  1.213,                0.97289,              4.456e-05,              4.456e-05,              4.456e-05
                     31,                0.66291,                0.36678,                0.84267,                0.76317,                 0.3565,                0.85179,                0.60157,                  0.585,                0.58788,                0.45226,                 1.0991,                0.92118,                0.94273,                 1.1995,                  1.202,                0.97385,              4.258e-05,              4.258e-05,              4.258e-05
                     32,                 0.6604,                0.36894,                0.84298,                0.75967,                0.35825,                0.85346,                0.61794,                0.57485,                0.58586,                0.45008,                 1.0981,                0.91455,                0.94509,                 1.2034,                 1.2088,                0.97893,               4.06e-05,               4.06e-05,               4.06e-05
                     33,                0.65933,                0.36698,                0.84102,                0.76133,                0.35744,                0.85208,                0.62417,                0.57246,                0.58327,                0.44471,                  1.102,                0.92863,                0.94348,                 1.2037,                 1.2054,                 0.9773,              3.862e-05,              3.862e-05,              3.862e-05
