                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1901,                 1.0791,                0.98736,                 1.3276,                 1.6438,                 1.0053,                0.57936,                0.45448,                0.48321,                0.36015,                 1.1805,                0.94348,                0.96051,                 1.2949,                 1.2503,                 1.0038,               0.066817,             3.3216e-05,             3.3216e-05
                      2,                 1.0502,                0.68791,                0.93992,                 1.1922,                0.85072,                0.96006,                0.59994,                0.51704,                0.51204,                0.37906,                 1.0872,                0.91429,                0.94402,                 1.1961,                 1.1785,                0.98211,               0.033516,             6.5232e-05,             6.5232e-05
                      3,                0.99129,                0.61019,                0.92253,                  1.123,                0.72119,                0.93972,                0.67054,                0.56011,                0.57367,                0.43406,                 1.1029,                0.88787,                 0.9365,                 1.2029,                 1.1792,                0.97361,             0.00021289,             9.5928e-05,             9.5928e-05
                      4,                0.94335,                0.57052,                0.90992,                 1.0723,                0.65512,                0.92823,                0.58366,                 0.5415,                 0.5206,                0.39294,                 1.0869,                0.94213,                0.94096,                 1.1969,                 1.1776,                0.97995,              9.406e-05,              9.406e-05,              9.406e-05
                      5,                0.90227,                0.54211,                0.89815,                 1.0313,                0.60723,                0.91649,                0.61097,                0.54663,                0.55539,                0.41934,                  1.111,                0.93455,                0.94765,                 1.2114,                 1.1862,                0.97876,              9.406e-05,              9.406e-05,              9.406e-05
                      6,                0.87799,                0.51712,                0.89077,                 1.0012,                0.56859,                0.90851,                0.61907,                0.58639,                0.59176,                 0.4505,                 1.0899,                0.85194,                0.93996,                 1.1954,                 1.0493,                0.97497,              9.208e-05,              9.208e-05,              9.208e-05
                      7,                0.85265,                0.50487,                0.88523,                0.97557,                0.54593,                 0.9033,                0.62159,                0.55462,                0.56504,                0.43258,                 1.0814,                 0.8652,                0.93444,                 1.1821,                  1.087,                0.96798,               9.01e-05,               9.01e-05,               9.01e-05
                      8,                0.83544,                0.48977,                0.88005,                0.95833,                0.52826,                0.89701,                0.65238,                0.54102,                0.56694,                0.43146,                 1.0858,                0.90489,                0.94478,                 1.2043,                 1.2045,                0.98604,              8.812e-05,              8.812e-05,              8.812e-05
                      9,                0.82111,                0.47428,                0.87752,                0.94456,                0.51572,                0.89449,                0.58642,                 0.5305,                0.53864,                0.40503,                 1.1005,                0.92494,                0.94816,                 1.2032,                 1.2848,                0.98635,              8.614e-05,              8.614e-05,              8.614e-05
                     10,                0.81048,                0.46081,                0.87453,                0.92908,                0.49507,                0.89252,                0.55961,                0.57661,                0.54433,                 0.4152,                  1.087,                0.90561,                0.94604,                 1.1956,                 1.1867,                 0.9838,              8.416e-05,              8.416e-05,              8.416e-05
                     11,                0.79674,                0.45517,                0.87029,                0.91358,                0.48416,                0.88786,                0.62931,                0.54491,                0.57513,                0.43649,                 1.1073,                0.91076,                0.95047,                 1.2129,                 1.1569,                0.98777,              8.218e-05,              8.218e-05,              8.218e-05
                     12,                0.78235,                0.44368,                0.86801,                0.89109,                0.45745,                0.88553,                0.63748,                0.55225,                0.57779,                0.44397,                 1.0816,                0.88046,                0.94213,                  1.191,                 1.1299,                 0.9815,               8.02e-05,               8.02e-05,               8.02e-05
                     13,                0.77114,                  0.435,                0.86415,                0.88412,                0.44754,                 0.8802,                0.63389,                0.57279,                0.59202,                0.45429,                 1.0863,                0.88326,                0.94189,                 1.1901,                 1.1123,                0.97763,              7.822e-05,              7.822e-05,              7.822e-05
                     14,                0.75586,                0.42562,                0.86045,                0.86731,                0.43862,                0.87626,                0.61893,                0.56683,                0.59546,                0.45651,                 1.0808,                0.89139,                0.93879,                 1.1811,                 1.1305,                0.97276,              7.624e-05,              7.624e-05,              7.624e-05
                     15,                0.76056,                0.42651,                0.86335,                0.87326,                0.44084,                0.87907,                0.63294,                 0.5506,                0.59022,                0.45363,                 1.1117,                0.87495,                0.94548,                 1.2133,                 1.0999,                0.97709,              7.426e-05,              7.426e-05,              7.426e-05
                     16,                0.74737,                0.41789,                0.85791,                0.85997,                0.42663,                0.87272,                0.66922,                0.55981,                0.60272,                0.46145,                  1.098,                0.87053,                0.94342,                 1.2045,                 1.1226,                0.98006,              7.228e-05,              7.228e-05,              7.228e-05
                     17,                0.73885,                0.41343,                0.85769,                0.84612,                0.41601,                0.87304,                0.63065,                 0.5619,                0.58686,                0.44535,                 1.1073,                0.88414,                0.94721,                 1.2167,                 1.1404,                0.98772,               7.03e-05,               7.03e-05,               7.03e-05
                     18,                0.72365,                0.40356,                 0.8543,                0.83037,                0.40614,                0.86825,                0.64707,                0.55171,                0.57962,                0.44059,                 1.1074,                0.89403,                0.94449,                 1.2173,                 1.1593,                0.98012,              6.832e-05,              6.832e-05,              6.832e-05
                     19,                0.72415,                0.40387,                0.85262,                0.83395,                0.40757,                0.86601,                0.64055,                0.55707,                0.58016,                0.44475,                 1.1036,                0.91724,                0.94528,                 1.2066,                  1.196,                0.97803,              6.634e-05,              6.634e-05,              6.634e-05
                     20,                0.71205,                0.39762,                0.85184,                0.81699,                0.40114,                0.86533,                 0.6437,                0.55141,                0.58141,                0.44377,                 1.0928,                0.88163,                0.94689,                 1.1934,                  1.144,                0.98154,              6.436e-05,              6.436e-05,              6.436e-05
                     21,                0.70798,                0.39316,                0.84964,                0.81673,                0.39418,                0.86361,                0.66256,                0.56166,                0.58198,                0.44414,                 1.1048,                0.91172,                0.94911,                 1.2169,                 1.1903,                0.98653,              6.238e-05,              6.238e-05,              6.238e-05
                     22,                 0.6939,                0.38469,                0.84854,                0.79831,                0.38087,                0.86174,                0.63536,                0.57218,                0.59849,                0.45758,                 1.1124,                0.88422,                0.94919,                 1.2176,                   1.17,                0.98703,               6.04e-05,               6.04e-05,               6.04e-05
                     23,                0.69499,                 0.3838,                0.84632,                0.80298,                0.38135,                0.86083,                 0.6254,                0.54568,                0.58024,                0.44191,                 1.1128,                0.92368,                0.95085,                 1.2229,                 1.2166,                0.98997,              5.842e-05,              5.842e-05,              5.842e-05
                     24,                0.68416,                0.37998,                0.84495,                0.78852,                0.37653,                0.85768,                0.64096,                0.56506,                0.57383,                0.43956,                 1.1052,                0.91095,                0.94646,                 1.2108,                 1.1788,                0.98335,              5.644e-05,              5.644e-05,              5.644e-05
                     25,                0.68225,                0.37693,                0.84554,                0.78463,                0.37029,                0.85811,                0.62207,                0.57196,                0.57975,                0.44983,                 1.1016,                 0.9093,                0.94519,                 1.2023,                 1.1902,                0.97732,              5.446e-05,              5.446e-05,              5.446e-05
                     26,                0.66724,                0.36981,                0.84172,                 0.7725,                0.36298,                0.85342,                0.63037,                0.56412,                0.58778,                0.45441,                 1.0907,                0.91401,                0.94311,                 1.1981,                 1.2109,                  0.978,              5.248e-05,              5.248e-05,              5.248e-05
                     27,                0.66596,                0.36859,                0.84166,                0.76548,                0.36131,                0.85573,                0.60204,                0.56383,                0.58765,                0.45208,                 1.0918,                0.89568,                0.94474,                 1.2012,                 1.1933,                0.98011,               5.05e-05,               5.05e-05,               5.05e-05
