                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.71967,                0.35635,                0.84871,                0.81838,                0.32249,                0.85622,                0.66821,                0.62083,                0.65449,                0.50114,                 1.0645,                0.80085,                0.95187,                 1.1584,                 1.0615,                0.98202,               0.005446,               0.005446,               0.005446
                     26,                0.71539,                0.35302,                 0.8476,                  0.814,                 0.3174,                0.85493,                0.67406,                0.61873,                0.65312,                0.50132,                 1.0643,                0.80092,                0.95158,                 1.1584,                 1.0606,                0.98162,               0.005248,               0.005248,               0.005248
                     27,                0.70894,                0.34969,                 0.8461,                0.80623,                0.31331,                0.85341,                0.71123,                 0.5998,                0.65171,                 0.5023,                 1.0646,                0.80125,                0.95145,                 1.1581,                 1.0615,                0.98111,                0.00505,                0.00505,                0.00505
                     28,                0.70727,                 0.3483,                0.84613,                0.80393,                0.31247,                 0.8533,                0.70317,                0.60572,                0.65037,                0.50293,                  1.065,                0.80131,                 0.9513,                 1.1574,                  1.063,                 0.9805,               0.004852,               0.004852,               0.004852
                     29,                0.70095,                 0.3448,                0.84434,                0.79694,                0.30937,                0.85134,                0.72253,                0.59886,                0.65015,                0.50401,                 1.0655,                0.80126,                 0.9512,                 1.1575,                  1.062,                0.98005,               0.004654,               0.004654,               0.004654
                     30,                0.69581,                0.34165,                0.84332,                0.79134,                0.30664,                0.85004,                0.71026,                 0.6004,                0.64847,                0.50348,                 1.0661,                0.80277,                0.95097,                  1.158,                 1.0644,                0.97997,               0.004456,               0.004456,               0.004456
                     31,                0.69186,                0.33899,                0.84235,                0.78679,                0.30425,                0.84928,                0.70394,                  0.603,                0.64605,                0.50322,                 1.0667,                0.80327,                0.95074,                 1.1586,                 1.0662,                0.97956,               0.004258,               0.004258,               0.004258
                     32,                0.68738,                0.33649,                0.84217,                0.78173,                0.30169,                0.84852,                0.73925,                0.58851,                0.64511,                0.50283,                 1.0668,                0.80335,                0.95037,                 1.1585,                 1.0666,                0.97919,                0.00406,                0.00406,                0.00406
                     33,                0.68242,                0.33356,                 0.8405,                0.77677,                0.29731,                0.84678,                0.73447,                0.58986,                0.64407,                0.50246,                 1.0662,                0.80256,                0.94982,                 1.1579,                  1.065,                0.97899,               0.003862,               0.003862,               0.003862
                     34,                 0.6805,                0.33132,                0.84017,                0.77379,                0.29384,                0.84643,                0.73918,                0.58592,                0.64363,                0.50268,                 1.0658,                0.80268,                0.94939,                 1.1579,                 1.0636,                0.97868,               0.003664,               0.003664,               0.003664
                     35,                0.67375,                0.32825,                 0.8393,                0.76697,                0.29104,                0.84539,                0.74954,                0.57718,                0.64379,                0.50315,                 1.0652,                0.80282,                0.94919,                 1.1569,                 1.0646,                0.97849,               0.003466,               0.003466,               0.003466
                     36,                0.66941,                0.32519,                0.83913,                0.76098,                0.28796,                0.84484,                0.74881,                0.57755,                0.64438,                0.50337,                 1.0653,                0.80261,                0.94907,                 1.1569,                 1.0636,                0.97889,               0.003268,               0.003268,               0.003268
                     37,                0.66435,                0.32178,                0.83706,                0.75525,                0.28464,                0.84297,                0.78685,                 0.5603,                0.64429,                0.50343,                 1.0645,                0.80173,                0.94853,                 1.1562,                 1.0626,                0.97839,                0.00307,                0.00307,                0.00307
                     38,                0.66117,                0.32008,                0.83682,                0.75272,                0.28469,                0.84255,                0.78791,                0.56065,                0.64435,                0.50377,                 1.0641,                0.80118,                0.94831,                 1.1558,                 1.0621,                0.97835,               0.002872,               0.002872,               0.002872
                     39,                0.65535,                0.31622,                0.83508,                0.74632,                0.27952,                0.84063,                0.77585,                0.56629,                0.64522,                0.50424,                  1.064,                0.80066,                0.94812,                 1.1553,                 1.0605,                0.97829,               0.002674,               0.002674,               0.002674
                     40,                0.64937,                0.31279,                0.83407,                0.73944,                0.27537,                0.83981,                0.78505,                0.56429,                0.64819,                0.50617,                 1.0637,                0.80067,                0.94773,                 1.1546,                 1.0614,                0.97777,               0.002476,               0.002476,               0.002476
                     41,                 0.5818,                0.26897,                0.81433,                0.64826,                0.20853,                0.81721,                0.78557,                0.56479,                 0.6492,                0.50663,                  1.064,                0.80141,                0.94752,                 1.1556,                 1.0636,                0.97796,               0.002278,               0.002278,               0.002278
                     42,                0.57089,                0.26381,                0.81199,                0.63569,                0.20389,                 0.8147,                 0.7927,                0.56339,                0.65124,                0.50796,                 1.0649,                0.80287,                0.94771,                 1.1565,                 1.0685,                0.97839,                0.00208,                0.00208,                0.00208
                     43,                0.56142,                0.25884,                0.81142,                0.62655,                0.20069,                  0.814,                0.78533,                0.56481,                0.65161,                0.50816,                 1.0654,                0.80488,                0.94774,                 1.1576,                 1.0738,                0.97887,               0.001882,               0.001882,               0.001882
                     44,                0.55262,                0.25447,                0.80973,                0.61649,                0.19668,                0.81221,                0.79268,                0.56178,                 0.6519,                0.50801,                 1.0663,                0.80747,                0.94799,                 1.1591,                 1.0815,                0.97936,               0.001684,               0.001684,               0.001684
                     45,                0.54323,                0.25027,                0.80804,                0.60661,                0.19327,                0.81045,                0.79267,                0.56013,                0.65195,                0.50844,                  1.067,                0.81016,                0.94846,                 1.1601,                 1.0895,                0.97989,               0.001486,               0.001486,               0.001486
                     46,                0.53358,                0.24528,                0.80648,                0.59662,                 0.1895,                 0.8086,                0.72004,                0.59547,                0.65206,                0.50837,                 1.0684,                0.81405,                0.94911,                 1.1623,                 1.0978,                0.98065,               0.001288,               0.001288,               0.001288
                     47,                0.52512,                0.24076,                0.80525,                0.58766,                 0.1862,                0.80715,                0.78057,                0.56298,                0.65121,                0.50763,                 1.0703,                0.81736,                0.94998,                 1.1643,                 1.1069,                0.98173,                0.00109,                0.00109,                0.00109
                     48,                 0.5151,                0.23591,                0.80285,                 0.5768,                0.18232,                0.80446,                0.77622,                0.56612,                0.65076,                0.50695,                 1.0723,                 0.8211,                0.95061,                 1.1671,                 1.1153,                0.98237,               0.000892,               0.000892,               0.000892
                     49,                0.50671,                0.23152,                0.80212,                0.56801,                0.17949,                0.80374,                0.76602,                 0.5703,                0.65023,                0.50588,                 1.0742,                0.82575,                0.95125,                 1.1696,                 1.1261,                0.98335,               0.000694,               0.000694,               0.000694
                     50,                0.49759,                0.22691,                0.80046,                0.55787,                0.17549,                0.80211,                0.74999,                0.57767,                0.64958,                0.50486,                 1.0763,                0.83057,                0.95201,                 1.1721,                 1.1368,                0.98406,               0.000496,               0.000496,               0.000496
