                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.71535,                0.36681,                0.85112,                0.83084,                0.34114,                0.86072,                0.76061,                0.56446,                0.64678,                0.50732,                 1.0762,                0.89057,                0.95969,                  1.177,                 1.2255,                0.99077,               0.005446,               0.005446,               0.005446
                     26,                0.70766,                0.36228,                0.84926,                0.82225,                0.33477,                0.85854,                0.72114,                0.59513,                0.64316,                0.50211,                 1.0724,                0.88975,                 0.9589,                 1.1764,                 1.2204,                0.99139,               0.005248,               0.005248,               0.005248
                     27,                0.70127,                0.35743,                0.84807,                0.81502,                0.32887,                0.85755,                0.67103,                0.64387,                0.66587,                0.51804,                 1.0697,                0.86508,                0.95748,                 1.1742,                 1.1782,                 0.9906,                0.00505,                0.00505,                0.00505
                     28,                0.69639,                 0.3542,                0.84671,                0.81048,                0.32679,                0.85585,                0.69313,                0.65064,                0.67873,                0.52936,                  1.071,                0.86959,                0.95577,                  1.172,                 1.1861,                0.98719,               0.004852,               0.004852,               0.004852
                     29,                 0.6912,                0.35049,                0.84611,                0.80258,                0.32268,                0.85469,                 0.6911,                0.65272,                0.68104,                0.53157,                 1.0709,                 0.8746,                0.95644,                 1.1691,                 1.1943,                0.98649,               0.004654,               0.004654,               0.004654
                     30,                0.68672,                0.34757,                0.84548,                0.80071,                0.32071,                0.85418,                0.68031,                0.66369,                0.68769,                0.53807,                 1.0736,                0.87224,                0.95834,                 1.1721,                 1.2003,                0.98865,               0.004456,               0.004456,               0.004456
                     31,                0.67891,                0.34339,                0.84343,                0.79002,                0.31476,                0.85193,                0.68526,                 0.6596,                0.68565,                0.53714,                 1.0724,                0.87313,                0.95841,                 1.1727,                 1.2033,                0.98915,               0.004258,               0.004258,               0.004258
                     32,                0.67245,                0.33939,                0.84184,                0.78356,                 0.3103,                0.85012,                0.69317,                0.63414,                0.67619,                0.53162,                 1.0731,                0.87527,                0.95905,                 1.1721,                 1.2022,                0.98944,                0.00406,                0.00406,                0.00406
                     33,                0.66832,                0.33628,                0.84131,                0.77743,                 0.3085,                0.84936,                0.68333,                0.63617,                0.67375,                0.53095,                 1.0721,                0.87474,                0.95802,                 1.1714,                 1.2061,                0.98866,               0.003862,               0.003862,               0.003862
                     34,                0.66334,                 0.3342,                0.84055,                0.77298,                0.30613,                0.84845,                0.72019,                0.61654,                0.67286,                0.52945,                 1.0723,                0.87781,                0.95802,                 1.1731,                 1.2097,                0.98861,               0.003664,               0.003664,               0.003664
